"HolderAddress","Balance","PendingBalanceUpdate"
"0x48130a0becc1ae066bba64876c0d7ece0c34ee1b","9,187,537.729564656","No"
"0x842004ba67b9bd59a0a92ccdab670e039c4aa2af","8,982,800.701662779339550714","No"
"0xc46e9bbce8f46f159bb060b660c0f1e8c89987c9","8,843,784.885850561056910309","No"
"0x690e7ed5663fa1b57df506d83747886d87bcfc27","8,096,727.250460483881188522","No"
"0x5b05ab5e677a34785a934774617bc2a960d6fb1f","8,016,560.348476698036005543","No"
"0x63922ed96dfa0fddd6b1ff73597796a76aeefc6d","7,603,531.025850173531575291","No"
"0x72015e7ee7342c11fd0b6d9b59b2288041ed655a","7,095,464.572351067525423335","No"
"0x88b8fe9699ec39040928308346af6dc7484a9f0f","7,026,154.938390569191102374","No"
"0xaf0ba576ac91c2ba22f24199d109d58e6e85e2d7","6,600,693.727994644264092475","No"
"0x719c2b52c54bdf5f4467dc1836abdb4bc3597543","6,356,436.390035882985959719","No"
"0xb01b6cf6648c59441e39c6f8724b80306bd22e3f","6,085,101.556744189211958473","No"
"0x98a6ef3db85e60d30f65bfeb83ebd0bc8596770a","5,502,135.394707596954516173","No"
"0x393241d6c8923153ac26b1d06f7cac482a6e0b07","5,413,226.766717414844619307","No"
"0x7b2336a6ba147fbaa96dda757e0a88f37d85dbe1","5,353,429.644422342877475681","No"
"0x4fcc7e4b2f8e110c21f6c801ff67c86693234de3","5,221,516.950155163539332375","No"
"0x0aeca05b9bd979f689d0aac1b529055cfd4c74a5","5,127,790.395292125732777799","No"
"0xd8dfcd665a3a059e07e790c5df5c533e87a1f523","5,042,996","No"
"0x5238635836d0c9460fa3eb48baf5a39cbdae1732","5,040,000","No"
"0x695fbad0b7ba9f026fd928ab79d9d3293384846c","5,000,000","No"
"0x990a2fc72848d1acc38facb66aa5f36248e51a6d","4,916,809.630752380433427436","No"
"0x5f010cdde81a689546adcd0942095bb49136731f","4,601,791.396997058855739118","No"
"0x026fbdecb53c5581f00793d44aade1eea3b7c488","4,394,392.742315111","No"
"0xce4ae429b51b87044353f0d763c7d35de1e0ac5c","4,147,424.766524253427770949","No"
"0x77124796a5bc3365600cf8c08d6d735e8db81bdc","4,058,762.143137704091594436","No"
"0x48328ce167c495db492663c0518eeef0d1a7f470","4,000,050","No"
"0x005d2386ee050c475c7d714fb862c125b2d70ca2","4,000,000.496061287441764807","No"
"0x000000000000000000000000000000000000dead","3,741,226.076784788275780104","No"
"0xd5785f66b06988fb58f7fc4d041c50c9764fd37d","3,596,513.830293444747872727","No"
"0x67b75dd1a2eaed166229486341c523cf06fe5e68","3,498,614.907543914851664364","No"
"0x09d77692b7d310089af7fc3decfc6d8136c17240","3,474,110.690396489","No"
"0xc3503f03f81f58ea9de4c2b3f149fcc0c2ff0c1a","3,368,316.883023494619830692","No"
"0x9baba1b39feea7a73743e1205a913bb5e7d1546e","3,326,068.544233382195630307","No"
"0x0a7baed42bac4c74ef54bbee4c69260affa09653","3,224,339.32926543346220879","No"
"0x0972b424fc190ee00ef724cf6ac44a581476dc8e","3,048,171.582504752672351756","No"
"0x7739861556646fae278a2741355cda16cc0495b6","3,015,571.197906101298870128","No"
"0x9c85e58c39571a044fd996464c6b7afa43b70735","2,976,062.992804027777218695","No"
"0x9458842fdda9893d341a67b35085a583a6fe210e","2,804,540.174466477692836627","No"
"0x4ff1d40fb7b56665bf95d8d8e3a5320de46709a1","2,751,707.738577474430426537","No"
"0x6d2a3aedf314fc7e36c441cb369b5372d0d5de05","2,694,102.747185454797412557","No"
"0xe634f288053c58c811a9bb66745a033d3a5a5e18","2,539,443.891011556909810802","No"
"0x82a641fd6c9e147d6692a6479959269a8f38e403","2,536,926.459899308245563409","No"
"0x7b896b56c335eaae12792981ccb2fcc6631128b8","2,527,230.714037695718830804","No"
"0xf1aee4ece81d381cc810555039b287ba50273dc1","2,458,332.583815838327773304","No"
"0x1ec3a3f2f9240cbc9f22bde5096caa1d941c7d5d","2,414,701.756221790915259519","No"
"0xfb48e6478e487e803cef2cb3a02289e500081a0f","2,237,916.313353573","No"
"0xcb260d8b0aa85db827bbe93c939f713e2a629531","2,233,777.924391964160008498","No"
"0x7f6b88eed006a812a964784d3e35e4c98c7b8657","2,180,753.048142575970257019","No"
"0x1b5849c31b5611b46235e120a7657c924a514d99","2,159,222.967752986822178934","No"
